id,name,latitude,longitude,feature_code,elevation
1427717,Koh-e Kafarzadah,36.22575,70.39015,MT,5187
1427718,Koh-e Hasan,36.22145,70.35443,MT,5315
1427719,Koh-e Khash Gaw,36.23962,70.32891,MT,5413
1427720,Koh-e Kaj Darah,36.23837,70.38211,MT,5031
1427731,Koh-e Kajamulan,36.25799,70.3327,MT,5124
1427735,Ghat-e Bukhar,36.23079,70.2512,MT,5011
1427755,Kuh-e Chap Darreh,36.33306,70.38167,MT,5236
1427756,Koh-e Sar-e Sobay,36.32261,70.3428,MT,5077
1427757,Koh-e Bazingar,36.33119,70.32008,MT,5061
1427767,Koh-e Sar-e Oshnogan,36.34752,70.44611,MT,5267
1427768,Koh-e Sar-e Oshnogan,36.32828,70.53498,MT,5215
1427769,Koh-e 'Arus,36.37877,70.6417,MT,5063
1428970,Day-e Argisht,35.49614,70.74097,MT,5090
1429395,Shahak,35.48524,69.61014,MT,5126
1429447,Koh-e Maligaram,35.18177,69.64476,MT,5009
1429571,Ghowch,35.39467,69.90113,MT,5055
1429572,Siyah Khar Now,35.38326,69.89457,MT,5012
1451408,Koh-e Sar-e Darah-ye Awdar,35.82163,70.51485,MT,5424
1451411,Koh-e Howz-e Kabud,35.87031,70.61406,MT,5215
1454116,Gora Akram,36.3175,71.51917,MT,5133
1455958,Koh-e Tund-e Ganda,35.97777,70.41464,MT,5017
1455993,Koh-e Sipar,35.80695,70.37964,MT,5262
1455994,Koh-e Poghsok,35.74469,70.3908,MT,5606
1455999,Koh-e Wurzak,35.74873,70.27202,MT,5262
1456003,Sar-e Sepirmay,35.73979,70.35914,MT,5610
1456005,Koh-e Sepirmay,35.71647,70.3803,MT,5310
1456011,Koh-e Chashmah,35.70021,70.34204,MT,5263
1456015,Koh-e Maldaygmay,35.68056,70.26129,MT,5413
1456058,Kamar-e Safed,35.60128,70.11102,MT,5008
1456059,Band-e Ghar,35.625,70.15337,MT,5422
1456060,Naw-e Kalan,35.61826,70.18413,MT,5103
1456067,Mungashayr,35.56929,70.17293,MT,5185
1456080,Koh-e Sar-e Qorghu,35.96371,70.11027,MT,5159
1456096,Koh-e Azhdarah,35.79275,70.09893,MT,5002
1456097,Kotal-e Zard,35.79696,70.04613,MT,5016
1456100,Kotal-e Paghar,35.67354,70.46139,MT,5086
1465387,Koh-e Aqblis,37.14925,73.86893,MT,5381
1465388,Koh-e Qarah Tash,37.10757,73.86622,MT,5270
1466650,Koh-e Ghara,36.04613,71.08925,MT,5520
1466658,Maley Ghara,36.10979,71.08774,MT,5006
1466682,Koh-e Moradbayg,36.10856,71.1669,MT,5257
1466714,Koh-e Pirayghost,36.09672,70.80067,MT,5000
1466716,Koh-e Khoghesht,36.12316,70.82556,MT,5422
1466718,Koh-e Derawah,36.1424,70.83377,MT,5598
1466720,Koh-e Shakh-e Safed,36.1585,70.84493,MT,5610
1466725,Koh-e Bandaka,36.17917,70.98333,MT,6812
1466728,Koh-e Dasht Ka,36.12758,70.93638,MT,5167
1466736,Koh-e Liwzakhm,36.18917,71.06806,MT,5358
1466795,Kuh-e Mianeh,36.20972,70.93667,MT,5277
1466799,Koh-e Shakh-e Safed,36.19519,70.86234,MT,5762
1466806,Koh-e Mianah,36.18188,70.91831,MT,5638
1466817,Koh-e Sar-e Maidan,36.22974,70.88825,MT,5712
1466822,Koh-e Jurm Darah,36.21459,71.07134,MT,5277
1466825,Koh-e Walarkhug,36.26347,71.06175,MT,5203
1466827,Koh-e Spiyar,36.26969,71.03465,MT,5312
1466830,Marghzar,36.31112,70.90038,MT,5781
1466831,Koh-e Tondok,36.32811,70.83576,MT,5018
1466833,Kaj Ab,36.34157,70.91315,MT,5002
1466834,Koh-e Sar-e Darah-ye Jokham,36.32875,70.92686,MT,5880
1467108,Koh-e Milghi Dashk,36.12499,71.13738,MT,5297
1467109,Koh-e Goy Baz,36.20839,71.35028,MT,5740
1467110,Koh-e Sar-e Chap Darah,36.2049,71.29169,MT,5720
1467111,Koh-e Patkhodek,36.22353,71.24692,MT,5390
1467115,Koh-e Armazdok,36.29257,71.12188,MT,5197
1467121,Mianah Koh,36.25255,71.27137,MT,5114
1467122,Koh-e Chap Kotalah,36.26702,71.30512,MT,5770
1467123,Koh-e Shakh-e Zya',36.26846,71.35488,MT,5335
1467124,Koh-e Berizha,36.28478,71.38368,MT,5052
1467125,Koh-e Wuchopar,36.32123,71.34249,MT,5454
1467144,Koh-e Tindosar,36.36583,71.07307,MT,5287
1467147,Wastik,36.3551,70.94676,MT,5146
1467148,Band-e Darah-ye Bazar,36.39304,70.92471,MT,5042
1468648,Koh-e Band-e Darakht,36.23797,71.40245,MT,5169
1468650,Koh-e Talah,36.28537,71.45254,MT,5274
1468651,Gora Akram,36.33917,71.49528,MT,5208
1469336,Koh-e Khujo,36.07202,70.11667,MT,5072
1469354,Koh-e Pazh,36.0639,70.17081,MT,5106
1469777,Koh-e Yeja,35.98248,71.2638,MT,5051
1469900,Ushtoruk Gegran,35.71779,71.26434,MT,5124
1469902,Koh-e Agintsi Chani,35.68766,71.24383,MT,5239
1469907,Koh-e Tsanigal,35.69281,71.05201,MT,5258
1469908,Shodramboda,35.61175,71.04126,MT,5475
1470502,Koh-e Sharshar,35.79177,69.99522,MT,5017
1470510,Koh-e Khirs Khanah,35.9816,69.99415,MT,5117
1470513,Koh-e Qol Barsang,35.93051,69.94272,MT,5257
1476483,Koh-e Yighdak,35.86031,70.81161,MT,5035
