id,name,latitude,longitude,feature_code,elevation
6365210,Cerro Culluishcuna,-13.61722,-74.80194,MT,3971
5830762,Little Sheep Mountain,44.79412,-108.25928,MT,1568
6723630,Kuh-e Hatajabad,33.38306,47.80702,MT,1495
9136082,"Bjorsjokletten,store",62.34513,11.11841,MT,1071
11503251,Kuh-e Ardushli Daghi,37.51981,48.45342,MT,2051
473495,Gora Virnimya,69.16387,29.66465,MT,419
11706661,Kuh-e Khar Mowvak,33.15155,49.31685,MT,2316
2492370,Kerdad,34.87597,0.09465,MT,1001
11363452,Dark',41.11108,44.63208,MT,1352
2632021,Eydnatindur,64.04648,-16.46176,PK,483
2635406,Moel Tryfan,53.08226,-4.21811,MT,429
5440698,Summit Peak,37.35084,-106.6967,MT,4023
12269235,Cerro Mejias,9.91522,-85.48406,MT,453
6932802,Dent Rouge,46.23003,7.08302,PK,2225
7337150,Golo Wakar,-8.4095,120.237,MT,557
3177792,Monte Croce,42.18333,13.76667,MT,864
2119662,Gora Vys',62.17426,154.5979,MT,1622
3793626,Morro El Turro,6.92389,-76.10917,MT,1564
3191276,Sarampov,44.32761,17.79644,MT,1362
2154479,Mount Og,-22.74417,149.97389,MT,297
2416931,Ore Gali,11.21667,-12.15,MT,1049
3126880,Monte de Camelle,43.16667,-9.11667,MT,169
1475772,Lakah Sang,34.69603,65.57304,MT,3281
1745200,Bukit Semeliang,5.75,101.48333,MT,836
1535038,Gora Shkili,51.2425,82.23472,MT,560
8601550,Hage Dake,27.75511,128.97059,MT,354
3899347,Cerro Ariquilda,-19.63622,-69.48981,MT,2059
6930171,Monte Conca,46.1469,11.38407,PK,2301
1936876,Mount Beteclara,-9.16047,125.51201,MT,287
9879988,Kuh-e Tall-e Guri,30.62071,54.35981,MT,1773
7431238,Kuh-e Shah Neshin Pash,36.91881,49.86988,MT,1950
801473,Gora Cherchen-Duk,42.98556,45.45556,MT,865
11737757,Jebel Chanwal,34.65463,-3.44638,MT,1135
2496536,Kef Ferdjane,35.07405,6.31974,MT,1363
2763289,Tschierweger Nock,46.85,13.58333,MT,2049
4460537,Chestnut Knob,35.26733,-82.77679,MT,1172
10409962,Ame Yama,35.43791,139.12336,MT,1141
10352627,Kuh-e Sheykh Shadan,32.36626,59.0109,MT,1782
10418858,Atanasica,42.09364,22.63024,MT,1597
4310621,Taylor Mountain,36.70036,-84.11521,MT,513
8634889,Cerro Yucaich,2.61721,-76.06366,MT,2078
3376894,Monkey Mountain,4.5,-59.61667,MT,591
74464,Qarn Ibn Zayd,16.68333,43.46667,MT,2000
11739718,Benungi Parbat,20.41111,84.05064,MT,844
9134196,Gronlifjellet,61.03977,5.67649,MT,620
10304814,Gnojiste,41.59506,21.79278,MT,918
6309294,Cerro Tarcco,-13.89639,-73.07417,MT,3350
7411823,Letena Bondosula,-9.6683,119.3444,MT,586
11273334,Madagin,28.6105,67.1893,MT,1004
2028473,Uhaa Tolgoy Uul,45.73333,113.88333,MT,1217
5799943,Kloochman Butte,45.77178,-122.27704,MT,774
1760039,Bukit Kiak,6.01667,100.85,MT,379
5837398,Sand Butte,43.2194,-108.71151,MT,1705
1152435,Khao Lang Mu,10.43333,99.01667,MT,195
3339550,Sjednik,42.78611,18.65028,PK,852
2146545,Mount Tingy Ringy,-36.9982,148.67836,MT,1442
3771380,Loma La Chorrera,2.96009,-76.7519,MT,1857
10627776,Leitereggstock,46.96026,8.98252,PK,2319
5800827,Lewis Peak,46.06153,-117.99827,MT,1492
7869485,Mabata,-10.22329,18.03429,MT,1430
3219408,Col Botei,46.38972,12.21333,MT,1616
9143816,Sagdalstindan,67.87277,15.58701,MT,780
8165577,Mount Hurley,-31.3152,149.0012,MT,648
3893592,Cerro Corcovado,-25.53224,-69.52218,MT,2928
3728493,Morne Canot,19.0019,-72.27231,MT,984
958857,Runerskraal,-31.01667,25.8,MT,1487
7014996,Qala'at esh Shekh Na'em,17.1482,33.6585,MT,363
5111045,Cafferty Hill,42.11007,-76.12771,MT,489
3369412,Brander se Berg,-30.22365,17.73483,MT,508
5143166,Walton Mountain,42.16564,-75.19906,MT,654
2118466,Gora Krayukha,50.19722,155.45,MT,557
280466,El Aarda,33.93417,36.02111,PK,1169
1586199,Phu Can Ti,22.45,103.35,MT,1480
7842778,Gora Buktokon,53.11348,117.28621,MT,1085
7354232,Jabal adh Dhakar,13.35244,43.64322,MT,385
4983062,Whittemore Hill,44.80438,-69.61174,MT,217
6611832,Zinarimesit Tepe,37.41389,40.1075,MT,671
7649344,Gunung Bumbeffor,-0.70567,135.49599,MT,800
2364859,Mont Natobome,10.15,0.95,MT,195
1213575,Dolok Tampulonanjing,1.75149,99.38567,MT,2000
5834042,Nylon Peak,42.88884,-109.33847,MT,3776
9146757,Teisttindan,70.14416,19.08181,MT,177
2278189,Mount Boze,6.51667,-8.98333,MT,310
5673312,Red Butte,45.01631,-113.22671,MT,1994
9027094,Cerro La Hoya,30.01963,-110.44456,MT,1312
12690557,Gora Dlinnaya,52.96024,140.19476,MT,403
1679131,Zhanghu Shan,23.73972,120.8175,PK,1363
1148586,Apo,31.98585,66.42067,MT,2156
2504340,Djebel Bentata,35.17403,0.48511,MT,1132
5556745,Rhino Peak,58.55917,-134.43556,MT,1741
1859117,Ko-dainichi-zan,36.17072,136.47594,MT,1178
9268594,Cerro del Copo,21.08195,-105.14071,MT,587
12730191,Gora Kindykakhura,52.37663,140.20425,MT,320
3952899,Cerro Posoco,-15.30688,-72.12457,MT,5000
5093770,Mount Tremont,44.0534,-71.3573,MT,1015
6659042,Kuh-e Bani Zard,36.3854,50.4274,MT,1654
5402720,La Tinta Hill,34.58082,-120.48683,MT,513
2773540,Kremserkogel,46.73333,15.15,MT,745
11033766,Mavrovouni,38.17657,23.17174,PK,570
6077237,Mont Qalirusilik,60.4002,-64.5817,MT,342
2777795,Grosser Hetzkogel,47.81667,15.06667,MT,1323
501525,Gora Rokhmoyva,66.88349,29.19305,MT,543
11971510,Kuh-e Takhteh,33.51375,50.2768,MT,2215
7754243,Bengo,-6.50682,15.36976,MT,933
6934967,Dent de Combette,46.52778,7.20384,PK,2082
2775132,Jakobskogel,47.71667,15.76667,MT,1616
11504792,Kuh-e Qush Daghi,37.90849,48.0988,MT,2049
5530368,Scobee Mountain,30.61738,-103.88518,MT,1652
8686866,Cerro Colorado,30.42169,-110.32334,MT,1247
11742677,Tangari Parbat,20.16678,84.64432,MT,742
4799098,Big Mountain,38.59206,-79.56505,MT,1177
1151540,Khao Pa Nong Tho Khi,15.05039,98.35295,MT,548
2505277,Djebel Bel Aid,36.36418,6.2215,MT,948
12172717,Kecske-hegy,48.39572,21.61972,MT,483
1534763,Gora Shishka,49.39806,85.66583,MT,1737
3863966,Cerro Bonete,-49.1236,-72.80995,MT,2028
5111757,Cat Hill,41.41787,-73.91819,MT,255
3949645,Cerro La Tala,-16.5775,-71.39111,MT,3138
12415218,Mocanga,-15.24767,14.12507,MT,1492
3944115,Cerro Chejguere,-15.1382,-72.15484,MT,4918
6727347,Kuh-e Zarileh Kuh,34.7744,47.88875,MT,2356
105538,Jabal Jabalayn,18.5297,41.78884,MT,889
12226171,Kalbura,42.18003,23.35882,PK,2480
1123177,Koh-e Takhtari,33.12555,62.24163,MT,1285
11865531,Best of all Lookout,-28.23991,153.2723,MT,734
6938346,Silberen,46.9924,8.89948,PK,2318
44687,Kuh-e Panj Angosht,30.75923,53.71717,MT,1745
5760679,Wigtop Butte,43.55624,-120.91611,MT,1511
5777355,Little Baldy,41.70882,-111.7505,MT,2671
5239744,Pete Parent Peak,43.32174,-72.90455,MT,900
3843631,Cerro Morrudo,-42.03219,-71.71579,MT,1918
6627617,"Voejkova, gora",-80.36667,-25.16667,MT,1211
125754,Kuh-e Layeh Zehti,32.10572,53.79628,MT,2362
6887136,Bonghwasan,36.14381,127.66491,MT,366
9144950,Tuberget,58.51843,5.8034,MT,6
8614651,Sturgiss Hill,-34.9321,150.28363,MT,565
269116,Rouais el Qobli,34.35972,36.25333,PK,1965
3299379,Stolac,43.79861,19.39417,MT,1199
9513208,Cerro El Sauz,20.06518,-101.56291,MT,2260
865284,Gora Seyvenduk,43.09736,44.90017,MT,1169
4219651,Rocky Top,34.98231,-84.00352,MT,924
3839216,Cerro Redondo,-29.15,-68.68333,MT,2620
5728444,Glass Buttes,43.55792,-120.07164,MT,1882
8559277,Kuh-e Parati Bora,27.37513,55.64654,MT,393
13098055,Gora Prokhladnaya,61.94811,143.23341,MT,1897
5662550,Lion Mountain,45.52299,-110.34742,MT,2424
2031729,Dund Ulaan Tolgoy,45.86667,116.25,MT,859
3318239,Vlasko Brdo,42.83917,19.13389,MT,1654
6934228,La Douve,46.43493,7.16443,PK,2170
2192013,Croisilles Peak,-41.1,173.58333,PK,481
6923509,Bentihu Panamba,3.4423,125.6606,MT,330
5780773,Round Hill,41.8116,-111.79244,MT,1642
2712379,Gelvenjahka,65.05,14.36667,MT,950
10869845,Cam Dagi,36.33319,29.90707,MT,1147
11343138,Ushite,41.45095,25.0213,PK,1860
3762358,Cerro Fila Larga,-5.70426,-78.55361,MT,715
3412418,Toarfjall,65.88826,-23.82073,MT,706
3207836,Storknuken,62.87833,8.28472,PK,340
4577051,Dug Mountain,34.96233,-82.86403,MT,374
